date,value
06/01/2021 00:56:19,28.428
06/01/2021 00:57:30,29.746
06/01/2021 00:58:42,28.124
06/01/2021 00:59:54,25.996
06/01/2021 01:01:07,26.152
06/01/2021 01:02:20,25.896
06/01/2021 01:03:35,28.275
06/01/2021 01:04:46,27.181
06/01/2021 01:05:58,24.802
06/01/2021 01:07:12,26.144
06/01/2021 01:08:26,25.792
06/01/2021 01:09:40,25.996
06/01/2021 01:10:53,28.629
06/01/2021 01:12:05,25.64
06/01/2021 01:13:19,25.992
06/01/2021 01:14:33,25.996
06/01/2021 01:15:47,26.986
06/01/2021 01:16:59,27.014
06/01/2021 01:19:24,32.096
06/01/2021 01:20:36,32.529
06/01/2021 01:21:49,33.333
06/01/2021 01:26:51,136.573
06/01/2021 01:28:07,28.063
06/01/2021 01:29:25,34.03
06/01/2021 01:34:42,100.2893333333333
06/01/2021 01:35:59,48.16433333333333
06/01/2021 01:37:17,29.636
06/01/2021 01:42:49,79.33425
06/01/2021 01:44:12,28.03175
06/01/2021 01:45:36,27.864
06/01/2021 01:47:02,32.608
06/01/2021 01:48:30,30.19425
06/01/2021 01:49:57,27.29475
06/01/2021 01:51:19,26.34275
06/01/2021 01:52:42,26.97575
06/01/2021 01:54:06,27.32833333333333
06/01/2021 01:55:31,28.31833333333333
06/01/2021 01:56:46,27.06766666666666
06/01/2021 01:58:04,25.38066666666667
06/01/2021 01:59:21,26.456
06/01/2021 02:00:41,28.4385
06/01/2021 02:02:05,29.7525
06/01/2021 02:03:21,28.851
06/01/2021 02:04:40,29.0345
06/01/2021 02:05:57,30.603
06/01/2021 02:07:18,30.616
06/01/2021 02:08:38,26.149
06/01/2021 02:09:53,28.152
06/01/2021 02:11:08,33.532
06/01/2021 02:12:28,23.97
06/01/2021 02:13:48,28.708
06/01/2021 02:15:07,27.562
06/01/2021 02:16:21,27.2525
06/01/2021 02:17:35,27.8265
06/01/2021 02:18:52,27.628
06/01/2021 02:20:12,25.848
06/01/2021 02:21:36,25.788
06/01/2021 02:22:57,25.968
06/01/2021 02:24:14,28.314
06/01/2021 02:25:33,25.84
06/01/2021 02:26:53,26.024
06/01/2021 02:28:11,25.696
06/01/2021 02:29:31,25.872
06/01/2021 02:30:54,25.996
06/01/2021 02:32:18,25.696
06/01/2021 02:33:38,23.038
06/01/2021 02:34:59,23.396
06/01/2021 02:36:21,40.036
06/01/2021 02:37:32,28.552
06/01/2021 02:38:52,34.306
06/01/2021 02:40:02,30.328
06/01/2021 02:41:22,27.972
06/01/2021 02:42:46,33.57
06/01/2021 02:43:57,24.072
06/01/2021 02:45:21,40.966
06/01/2021 02:46:32,31.584
06/01/2021 02:47:56,32.749
06/01/2021 02:49:16,30.28
06/01/2021 02:50:38,30.68
06/01/2021 02:53:09,30.792
06/01/2021 02:54:33,37.114
06/01/2021 02:55:44,26.236
06/01/2021 02:57:04,29.48
06/01/2021 02:58:25,30.008
06/01/2021 02:59:50,32.451
06/01/2021 03:01:21,25.848
06/01/2021 03:02:47,37.444
06/01/2021 03:03:57,37.368
06/01/2021 03:05:08,25.792
06/01/2021 03:06:36,25.964
06/01/2021 03:07:58,49.839
06/01/2021 03:09:08,106.79
06/01/2021 03:10:19,56.204
06/01/2021 03:15:15,31.202
06/01/2021 03:16:39,30.274
06/01/2021 03:18:08,24.594
06/01/2021 03:19:23,33.736
06/01/2021 03:20:47,27.86
06/01/2021 03:22:03,27.7
06/01/2021 03:23:17,29.976
06/01/2021 03:24:33,26.456
06/01/2021 03:25:57,28.036
06/01/2021 03:27:20,34.08
06/01/2021 03:28:43,34.08
06/01/2021 03:30:00,31.072
06/01/2021 03:31:20,30.432
06/01/2021 03:32:43,30.812
06/01/2021 03:34:04,34.628
