date,cpu,netin,netout
04/19/2021 21:12:55,0.4918,3504.0,2940.0
04/19/2021 21:12:56,99.8333,5730.0,70802.0
04/19/2021 21:14:57,0.5,3338.0,2840.0
04/19/2021 21:14:58,0.5,3996.0,3177.0
04/19/2021 21:17:01,0.5085,3556.0,3040.0
04/19/2021 21:21:03,0.5,3588.0,2992.0
04/19/2021 21:23:05,0.5,3386.0,2860.0
04/19/2021 21:25:07,0.3333,3240.0,2808.0
04/19/2021 21:27:09,0.3333,3264.0,2832.0
04/19/2021 21:29:11,0.339,3264.0,2832.0
04/19/2021 21:31:12,0.4918,3512.0,2868.0
04/19/2021 21:33:14,70.4918,7224.0,70432.0
04/19/2021 21:35:15,73.2787,6255.0,69928.0
04/19/2021 21:37:17,73.4426,8727.0,72199.0
04/19/2021 21:39:19,25.5,5677.0,4917.0
04/19/2021 21:41:21,72.5,5743.0,69302.0
04/19/2021 21:43:23,60.3333,5222.0,69720.0
04/19/2021 21:43:23,39.3443,5360.0,70016.0
04/19/2021 21:45:25,76.5,7087.0,136074.0
04/19/2021 21:45:26,67.541,8316.0,73246.0
04/19/2021 21:47:27,48.3333,5000.0,69708.0
04/19/2021 21:47:28,55,6061.0,70012.0
04/19/2021 21:49:30,0.5,3624.0,2844.0
04/19/2021 21:49:30,64.1667,5618.0,69912.0
04/19/2021 21:51:32,0.5,3454.0,2896.0
04/19/2021 21:51:33,0.339,3744.0,3040.0
04/19/2021 21:53:34,36.5,5244.0,69991.0
04/19/2021 21:53:35,63,6381.0,70080.0
04/19/2021 21:55:37,48.9831,4267.0,3084.0
04/19/2021 21:55:38,71.8333,7432.0,71006.0
04/19/2021 21:57:39,68.3333,6921.0,70969.0
04/19/2021 21:57:40,40,6972.0,72273.0
04/19/2021 21:59:42,82.3333,7109.0,136210.0
04/19/2021 21:59:42,55.2542,4884.0,69856.0
04/19/2021 22:01:44,71.1667,6259.0,70112.0
04/19/2021 22:01:45,70.9836,7795.0,72197.0
04/19/2021 22:03:47,0.5,9632.0,8472.0
04/19/2021 22:03:47,0.3333,3588.0,2892.0
04/19/2021 22:05:49,0.5085,3564.0,2812.0
04/19/2021 22:05:50,0.5,6707.0,5267.0
04/19/2021 22:07:51,0.6557,17259.0,20551.0
04/19/2021 22:07:52,0.3333,3522.0,2892.0
04/19/2021 22:09:54,0.5,3526.0,2856.0
04/19/2021 22:11:56,0.5,3418.0,2764.0
04/19/2021 22:13:58,0.5085,5492.0,5221.0
04/19/2021 22:16:00,0.5085,5634.0,5341.0
04/19/2021 22:18:01,0.5085,3342.0,2740.0
04/19/2021 22:20:03,100,7403.0,70794.0
04/19/2021 22:22:05,84.8333,7205.0,71460.0
04/19/2021 22:24:07,100,6097.0,70586.0
04/19/2021 22:26:09,99.6667,8650.0,137432.0
04/19/2021 22:28:11,72.5424,5304.0,69732.0
04/19/2021 22:30:13,27.6667,6527.0,70726.0
